"Accurate long passes, %",Short / medium passes per 90,Passes per 90,Interceptions per 90,Successful defensive actions per 90,"Accurate short / medium passes, %",Dribbles per 90,"Duels won, %",Shots blocked per 90,Passes to final third per 90,"Accurate passes, %",Received passes per 90,Non-penalty goals,"Accurate passes to final third, %",Key passes per 90,Duels per 90,Assists,"Successful dribbles, %"
39.02,36.0,43.24,5.36,9.98,89.31,1.88,49.86,0.41,8.56,80.72,31.37,1,70.05,0.37,16.72,0,46.34
24.2806,19.942399999999996,23.999000000000013,2.107399999999999,5.494999999999994,80.70239999999995,0.005699999999999999,45.56249999999998,0.0709,3.0559,74.77320000000007,13.58,0,39.64649999999999,0.0055000000000000005,8.267099999999997,0,0.0
24.2958,20.243299999999998,23.999000000000013,2.106999999999999,5.509499999999995,80.70239999999995,0.005699999999999999,45.54589999999998,0.0733,3.0559,74.90740000000008,13.783399999999999,0,39.74999999999999,0.0055000000000000005,8.257199999999997,0,0.0
66.67,23.9,26.63,1.37,4.64,89.14,0.14,45.31,0.14,3.82,86.15,20.9,1,67.86,0.55,8.74,1,0.0
54.55,38.7,46.22,3.54,8.85,90.86,0.44,67.92,0.22,3.98,85.17,32.95,0,33.33,0.0,11.72,0,50.0
24.1485,18.33319999999999,22.567800000000002,2.067399999999999,5.4756999999999945,80.47989999999994,0.005699999999999999,45.56249999999998,0.06240000000000001,3.0537999999999994,74.41530000000009,11.890099999999993,0,39.672999999999995,0.0055000000000000005,8.077899999999998,0,0.0
0.0,24.0,26.4,1.2,4.8,75.0,0.0,58.33,0.0,4.8,68.18,14.4,0,100.0,0.0,14.4,0,0.0
48.0,42.46,45.64,4.58,8.39,94.61,0.38,59.48,0.51,3.43,91.36,34.32,0,62.96,0.0,14.75,0,100.0
55.56,40.93,46.79,5.81,11.34,89.52,1.09,59.73,0.33,8.2,84.92,31.7,0,72.19,0.38,16.18,0,50.0
52.91,44.3,54.44,6.19,11.12,90.89,1.7,59.58,0.67,10.54,83.28,39.64,0,64.68,0.04,17.09,0,76.32
57.14,39.81,48.32,5.07,10.93,86.47,0.39,58.29,0.08,9.21,81.1,33.8,0,66.1,0.23,13.66,1,60.0
57.89,33.46,40.99,4.6,9.1,92.11,0.59,62.69,0.39,6.26,85.68,29.25,0,68.75,0.0,13.11,0,50.0
73.33,43.14,48.29,5.71,9.43,91.39,2.57,42.86,0.57,6.29,88.17,34.57,0,81.82,0.29,14.0,0,55.56
45.25,33.52,41.24,6.23,11.71,90.96,0.27,63.36,0.88,6.23,82.51,25.89,1,55.74,0.1,15.41,1,37.5
58.41,38.37,48.25,4.68,8.92,93.66,0.8,60.09,0.46,8.09,86.48,33.42,1,64.26,0.03,13.42,0,65.38
42.86,31.37,36.48,3.8,8.36,90.62,0.54,54.5,0.31,5.19,83.65,25.17,0,65.67,0.08,14.64,0,28.57
55.56,47.0,55.13,4.0,6.88,94.14,0.26,53.7,0.72,6.23,88.47,39.72,0,65.26,0.2,10.62,1,75.0
44.9,40.98,45.79,4.5,8.63,92.31,1.58,56.47,0.08,4.73,87.05,34.38,0,63.49,0.38,12.76,2,61.9
