Key passes per 90,"Duels won, %",Passes per 90,Shot assists per 90,Touches in box per 90,Short / medium passes per 90,"Shots on target, %",Duels per 90,"Accurate passes, %","Accurate short / medium passes, %",Successful attacking actions per 90,Received passes per 90,"Aerial duels won, %","Goal conversion, %","Offensive duels won, %",Non-penalty goals,Aerial duels per 90,Assists
0.22,38.39,22.5,0.66,2.16,20.73,31.58,17.14,85.01,87.73,3.37,16.31,30.43,5.263,38.46,2,1.27,2
0.37,44.6,36.7,0.56,1.5,34.58,35.29,17.35,87.59,89.35,2.06,28.27,54.55,11.765,35.96,2,1.37,3
0.31,40.38,35.54,1.25,1.56,30.76,40.0,27.54,80.12,84.8,5.4,27.44,27.27,20.0,36.67,3,1.14,1
0.49,48.23,23.39,0.49,2.44,20.31,45.45,22.91,69.44,72.8,2.27,13.32,28.0,0.0,36.54,0,4.06,0
0.69,45.58,33.58,1.38,0.96,31.38,50.0,20.23,83.61,85.53,3.58,24.77,16.67,0.0,42.86,0,0.83,1
0.66,26.98,22.77,0.88,3.28,19.05,62.5,27.59,75.0,82.76,4.16,14.01,34.38,12.5,19.64,1,7.01,0
0.11,39.57,24.91,0.77,2.96,22.83,50.0,15.26,78.85,80.77,2.3,17.67,46.34,20.0,23.4,3,4.5,0
0.31,41.1,20.54,1.04,1.67,19.19,47.06,24.61,86.29,88.59,2.71,14.5,20.0,5.882,39.62,1,2.61,3
0.17,33.57,14.43,0.34,5.6,13.16,34.48,23.52,76.47,80.65,2.55,8.32,51.61,3.448,25.74,1,5.26,1
0.46,32.31,23.49,1.01,3.96,21.56,52.94,23.95,76.47,79.49,3.96,17.13,18.52,5.882,32.31,1,2.49,2
0.15,30.11,15.2,0.3,3.16,14.0,40.0,14.0,73.27,77.42,0.75,10.23,40.74,10.0,14.29,1,4.06,0
1.32,36.71,21.71,1.59,5.03,20.38,40.0,20.91,84.15,88.31,1.32,16.41,33.33,0.0,17.86,0,4.76,1
0.0,32.69,14.18,0.19,3.21,12.76,42.86,29.21,71.33,77.04,1.89,8.13,37.68,4.762,21.17,1,6.52,0
1.07,43.19,25.85,1.58,2.65,19.98,35.71,30.5,72.85,82.44,7.02,15.04,43.24,14.286,38.75,2,2.65,1
1.03,48.0,16.55,1.03,4.14,13.45,33.33,25.86,68.75,69.23,5.17,8.28,28.57,0.0,70.0,0,7.24,0
0.2,40.87,22.15,1.01,2.92,19.93,30.0,25.37,80.45,84.34,3.93,16.21,45.45,10.0,36.04,2,4.43,0
0.0,45.95,16.42,0.0,3.28,15.77,50.0,24.31,76.0,77.08,1.31,12.48,46.15,0.0,40.0,0,4.27,0
0.0054,25.794100000000025,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.3745000000000001,6.506499999999994,4.661999999999999,0.0,12.634299999999994,0,0.3515,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.32,38.22,22.78,0.63,2.53,19.61,37.5,24.83,79.86,85.48,4.75,20.25,33.33,0.0,33.72,0,2.37,0
0.38,43.58,24.15,0.57,3.77,22.64,22.22,33.77,79.69,83.33,2.08,15.66,42.37,0.0,40.0,0,11.13,0
0.48,38.82,23.16,0.72,3.38,19.3,50.0,20.51,69.79,73.75,6.03,14.72,38.46,33.333,40.82,2,3.14,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.0054,25.542900000000028,11.8464,0.027100000000000003,0.8654,10.771099999999997,2.8726,13.022599999999997,61.46409999999999,69.25420000000004,0.35310000000000025,6.506499999999994,4.661999999999999,0.0,12.348499999999992,0,0.3515,0
0.0,29.51,16.05,0.22,3.47,13.66,41.67,26.46,68.92,77.78,2.39,10.41,37.93,8.333,18.0,1,6.29,0
0.0,36.05,21.82,0.0,2.52,19.72,37.5,30.84,75.96,78.72,1.05,11.96,45.1,0.0,34.09,0,10.7,0
0.79,44.98,32.24,1.21,2.89,27.04,46.15,21.99,72.43,77.43,4.31,21.51,32.26,11.538,42.58,2,1.63,3
0.37,35.37,21.2,0.74,2.98,18.97,60.0,30.5,71.93,76.47,2.98,11.9,23.08,20.0,32.14,1,4.83,0
0.0,16.67,34.74,0.0,3.16,31.58,0.0,18.95,72.73,80.0,0.0,23.68,0.0,0.0,0.0,0,0.0,0
