"Accurate short / medium passes, %",Sliding tackles per 90,Duels per 90,Aerial duels per 90,Touches in box per 90,Shot assists per 90,"Average pass length, m",Passes to final third per 90,"Accurate passes to final third, %",Passes per 90,Short / medium passes per 90,Assists,"Duels won, %","Accurate passes, %",Received passes per 90,Interceptions per 90,PAdj Interceptions,Non-penalty goals,Smart passes per 90
90.53,0.51,14.84,1.16,0.8,0.29,18.44,6.55,71.11,41.18,38.42,0,50.0,87.63,29.98,4.58,5.46,0,0.44
60.74980000000002,0.0,7.713799999999991,0.19209999999999997,0.005699999999999999,0.0036000000000000003,25.38,1.3537000000000003,10.402300000000002,11.127400000000007,7.60619999999999,0,31.532599999999974,49.12999999999999,6.1891999999999925,0.5900000000000001,0.0,0,0.0006
85.53,0.28,20.23,0.83,0.96,1.38,17.52,4.4,71.88,33.58,31.38,1,45.58,83.61,24.77,3.72,4.4,0,1.1
82.98,0.36,26.49,2.9,0.73,0.54,18.15,5.08,78.57,38.47,34.11,0,48.63,78.77,25.22,4.35,5.81,0,1.09
91.01,1.12,12.77,0.96,0.32,0.16,18.69,6.06,78.95,47.55,42.61,1,61.25,86.24,37.98,3.51,3.91,0,0.0
89.42,0.69,14.88,2.13,0.37,0.0,18.45,4.91,70.65,42.36,39.85,0,57.35,87.28,30.04,5.87,7.89,2,0.11
88.03,0.22,16.92,1.65,0.65,0.29,17.49,4.73,78.79,32.63,30.55,0,46.61,86.37,22.59,3.66,4.78,1,0.29
66.67,0.0,16.65,1.04,1.04,1.04,18.86,0.52,0.0,12.49,6.24,0,65.63,41.67,8.84,1.56,1.73,0,0.0
81.16,1.78,25.21,9.64,1.63,0.3,22.9,4.6,35.48,24.32,20.46,0,51.18,74.39,12.31,3.41,4.08,0,0.0
94.9,0.27,14.15,6.68,0.27,0.27,18.33,4.81,94.44,44.07,41.93,0,58.49,93.94,35.25,2.14,2.58,0,0.0
85.37,0.77,29.23,3.85,0.0,0.0,25.17,13.85,55.56,45.38,31.54,0,52.63,69.49,26.15,5.38,10.0,0,0.77
50.0,0.0,6.55,0.0,0.0,0.0,26.6,1.64,0.0,4.91,3.27,0,50.0,33.33,0.0,3.27,12.0,0,0.0
100.0,0.0,5.4,0.0,0.0,0.0,33.67,5.4,66.67,16.2,10.8,0,66.67,88.89,5.4,5.4,7.5,0,0.0
96.15,0.0,15.19,4.68,0.0,0.0,22.15,1.17,100.0,31.56,30.39,0,23.08,96.3,22.21,0.0,0.0,0,0.0
97.06,0.91,20.91,2.73,0.0,0.0,20.56,6.36,57.14,36.36,30.91,0,47.83,87.5,24.55,6.36,7.24,0,0.0
93.49,0.58,15.92,1.45,0.17,0.58,19.63,10.24,76.84,49.49,42.66,0,45.45,89.01,36.87,1.68,2.12,0,0.64
61.61420000000002,0.0,8.067099999999993,0.28300000000000014,0.0165,0.0036000000000000003,16.45,1.3391,12.781200000000004,11.665700000000006,8.03109999999999,0,32.027499999999975,53.55780000000001,6.798299999999991,0.6151000000000001,0.0,0,0.0
89.14,0.27,8.74,0.27,1.09,0.55,17.67,3.82,67.86,26.63,23.9,1,45.31,86.15,20.9,1.37,1.86,1,0.27
86.96,0.0,21.89,3.65,1.22,0.0,17.78,6.08,100.0,30.41,27.97,0,38.89,84.0,19.46,0.0,0.0,0,0.0
61.61420000000002,0.0,8.067099999999993,0.28300000000000014,0.0165,0.0036000000000000003,0.0,1.3391,12.781200000000004,11.665700000000006,8.03109999999999,0,32.027499999999975,53.2332,6.798299999999991,0.6151000000000001,0.0,0,0.0
75.0,0.0,14.4,2.4,0.0,0.0,16.09,4.8,100.0,26.4,24.0,0,58.33,68.18,14.4,1.2,2.5,0,0.0
59.40000000000002,0.0,7.287099999999992,0.13629999999999995,0.0048,0.0036000000000000003,34.05,1.3661,8.467900000000002,9.8692,6.608799999999991,0,31.514799999999976,44.00839999999997,4.843199999999994,1.139100000000001,30.0,0,0.0006
90.37,0.19,13.33,0.94,1.03,1.41,19.43,5.82,70.97,45.23,40.92,0,47.18,87.34,34.16,2.25,2.85,2,0.47
91.04,0.0,18.36,6.51,0.59,0.0,19.97,5.33,66.67,41.45,39.67,0,35.48,88.57,27.24,2.96,6.82,0,0.0
86.7,0.77,20.6,1.8,2.45,1.8,14.87,3.86,80.0,33.48,30.0,3,48.13,83.08,26.27,1.67,2.39,0,0.39
89.52,0.33,16.18,2.99,0.6,0.54,20.43,8.2,72.19,46.79,40.93,0,59.73,84.92,31.7,5.81,8.23,0,0.27
90.86,0.38,16.82,2.29,0.76,0.57,16.32,5.35,64.29,41.27,35.54,0,44.32,84.72,29.81,5.73,7.32,0,0.19
93.66,0.46,13.42,3.48,0.71,0.12,24.96,8.09,64.26,48.25,38.37,0,60.09,86.48,33.42,4.68,6.92,1,0.03
88.68,0.22,13.7,0.87,0.87,0.65,15.79,2.83,38.46,24.35,23.04,0,58.73,83.93,14.57,5.22,6.26,0,0.0
91.3,1.14,19.06,1.6,0.15,0.46,19.94,6.51,75.4,48.31,44.54,1,52.85,88.56,35.24,3.98,4.76,0,0.52
88.89,0.0,12.41,1.03,1.03,0.0,16.45,1.03,100.0,12.41,9.31,0,41.67,75.0,8.28,1.03,3.0,0,0.0
