"Successful dribbles, %",Successful attacking actions per 90,Crosses per 90,Dribbles per 90,"Offensive duels won, %","Accurate passes, %","Shots on target, %","Accurate passes to penalty area, %",Crosses to goalie box per 90,Short / medium passes per 90,"Accurate short / medium passes, %",Passes to penalty area per 90,Key passes per 90,Shot assists per 90,Received passes per 90,Passes per 90,Duels per 90,"Duels won, %","Accurate crosses, %","Goal conversion, %",Assists,Non-penalty goals
52.41,4.47,2.18,6.23,42.17,81.62,37.5,44.23,0.41,27.41,88.22,1.95,0.45,0.83,23.17,30.64,23.99,43.35,22.41,12.5,1,5
54.29,6.33,5.2,6.62,44.0,65.93,26.92,45.76,0.95,17.87,76.72,5.58,0.57,1.7,18.15,25.53,20.8,43.64,36.36,3.846,2,1
41.94,3.86,2.7,3.99,34.83,74.19,60.0,33.33,0.39,17.0,81.82,2.7,0.26,0.64,13.13,19.96,26.52,33.5,23.81,26.667,1,4
51.61,2.46,2.82,2.18,39.36,77.64,27.78,39.62,0.63,21.55,87.25,3.73,0.42,1.83,20.85,28.03,15.14,36.74,25.0,11.111,2,2
62.5,1.75,0.87,1.75,32.0,86.02,0.0,50.0,0.0,37.57,88.37,1.75,0.44,0.66,29.27,40.63,19.88,48.35,75.0,0.0,0,0
60.0,1.87,1.41,1.45,37.61,79.04,26.19,37.21,0.29,27.09,84.51,1.79,0.5,0.87,21.94,32.12,18.49,47.19,26.47,4.762,3,2
48.15,2.57,0.92,2.77,32.2,74.86,66.67,50.0,0.31,16.32,79.25,2.26,0.21,0.41,13.03,17.96,13.14,42.97,11.11,16.667,1,2
53.08,6.21,4.7,7.54,46.35,68.57,25.0,50.0,0.87,15.67,81.11,3.83,1.04,2.15,14.91,22.34,19.38,48.2,37.04,12.5,3,2
52.94,1.91,1.06,2.41,32.71,78.26,50.0,38.1,0.07,18.18,81.71,1.49,0.14,0.5,14.08,19.53,16.84,34.45,33.33,25.0,0,2
57.89,1.73,2.28,1.49,44.68,78.91,15.38,43.9,0.63,29.92,86.35,3.22,0.16,0.63,24.66,36.13,16.88,49.3,24.14,0.0,0,0
55.56,6.64,4.54,6.29,46.2,72.49,46.88,55.22,0.84,20.4,81.51,4.68,1.05,1.47,19.29,27.18,24.81,48.17,41.54,15.625,3,5
57.99,6.27,1.99,7.3,44.7,83.51,45.59,46.67,0.35,25.23,89.38,1.94,0.39,0.65,21.43,28.3,25.62,41.99,26.09,11.765,0,8
50.0,4.58,1.98,6.19,42.86,78.28,85.71,45.45,0.37,21.29,84.3,1.36,0.5,0.62,16.71,24.51,20.3,48.17,37.5,42.857,1,3
49.12,3.25,0.51,4.88,36.2,84.99,36.36,57.14,0.09,33.65,87.02,1.2,0.43,0.69,23.12,35.37,23.72,46.21,16.67,18.182,2,2
57.58,2.62,1.61,2.21,54.55,79.02,50.0,40.0,0.27,27.32,86.73,2.68,0.2,0.47,24.16,32.95,17.52,45.21,33.33,0.0,1,0
58.82,5.4,1.56,7.07,36.67,80.12,40.0,43.33,0.1,30.76,84.8,3.12,0.31,1.25,27.44,35.54,27.54,40.38,26.67,20.0,1,3
50.43,4.5,2.71,6.75,39.13,79.93,17.65,40.91,0.35,26.5,87.36,2.54,0.35,0.87,22.34,31.35,27.83,40.66,34.04,0.0,0,0
19.90679999999999,0.7617000000000006,0.13619999999999996,0.43950000000000017,14.6512,53.61910000000002,0.0,4.554000000000001,0.005500000000000002,9.400400000000012,66.55740000000006,0.25730000000000003,0.0025,0.053100000000000015,7.967799999999995,11.990300000000005,12.183300000000006,31.2569,0.9027,0.0,0,0
100.0,1.64,0.0,1.64,100.0,83.33,0.0,0.0,0.0,9.82,83.33,0.0,0.0,0.0,6.55,9.82,14.73,33.33,0.0,0.0,0,0
62.5,3.18,1.99,2.39,54.55,82.72,46.15,61.9,0.1,20.29,86.76,2.09,0.5,1.39,18.5,24.17,14.72,52.7,50.0,23.077,1,3
42.59,3.96,1.01,4.97,32.31,76.47,52.94,50.0,0.37,21.56,79.49,1.66,0.46,1.01,17.13,23.49,23.95,32.31,27.27,5.882,2,1
75.0,1.32,1.06,1.06,17.86,84.15,40.0,75.0,0.26,20.38,88.31,1.06,1.32,1.59,16.41,21.71,20.91,36.71,0.0,0.0,1,0
30.0,0.79,0.36,1.43,39.34,86.37,12.5,50.0,0.0,30.55,88.03,0.43,0.0,0.29,22.59,32.63,16.92,46.61,40.0,12.5,0,1
38.46,1.89,0.85,2.46,21.17,71.33,42.86,25.0,0.09,12.76,77.04,0.76,0.0,0.19,8.13,14.18,29.21,32.69,0.0,4.762,0,1
49.29,7.02,4.3,10.02,38.75,72.85,35.71,44.83,0.5,19.98,82.44,4.15,1.07,1.58,15.04,25.85,30.5,43.19,35.0,14.286,1,2
100.0,5.17,0.0,4.14,70.0,68.75,33.33,100.0,0.0,13.45,69.23,1.03,1.03,1.03,8.28,16.55,25.86,48.0,0.0,0.0,0,0
57.45,3.93,1.21,4.73,36.04,80.45,30.0,53.33,0.1,19.93,84.34,1.51,0.2,1.01,16.21,22.15,25.37,40.87,41.67,10.0,0,2
33.33,1.56,4.68,3.12,40.0,41.67,0.0,12.5,0.52,6.24,66.67,4.16,0.0,1.04,8.84,12.49,16.65,65.63,11.11,0.0,0,0
50.0,7.74,2.04,10.59,41.03,79.03,25.0,75.0,0.41,21.58,77.36,1.63,0.81,0.81,17.92,25.25,32.58,46.25,80.0,0.0,1,0
50.0,2.57,0.43,2.57,23.81,80.77,66.67,66.67,0.43,20.57,83.33,1.29,0.43,0.43,15.86,22.29,24.86,32.76,0.0,0.0,0,0
0.0,0.0,0.77,0.0,50.0,69.49,0.0,66.67,0.0,31.54,85.37,2.31,0.0,0.0,26.15,45.38,29.23,52.63,0.0,0.0,0,0
50.0,2.65,3.53,5.29,50.0,80.0,0.0,0.0,0.0,22.94,92.31,3.53,0.0,0.88,21.18,26.47,22.94,50.0,0.0,0.0,0,0
45.95,2.73,1.66,4.4,44.74,71.25,22.22,40.0,0.12,16.88,77.46,1.19,0.36,0.71,12.48,19.02,20.45,51.16,14.29,11.111,2,2
18.306899999999995,0.7437000000000005,0.12749999999999997,0.37980000000000014,14.424,53.27000000000002,0.0,4.7148,0.005200000000000002,9.212000000000009,66.65960000000005,0.24850000000000008,0.0025,0.05070000000000001,7.978799999999994,12.108900000000004,12.216100000000008,31.090400000000002,0.9027,0.0,0,0
40.0,1.46,2.34,2.92,52.94,64.37,0.0,14.29,0.58,20.45,72.86,2.05,0.0,0.0,16.36,25.42,18.41,53.97,12.5,0.0,0,0
48.65,4.75,1.42,5.85,33.72,79.86,37.5,36.36,0.16,19.61,85.48,1.74,0.32,0.63,20.25,22.78,24.83,38.22,22.22,0.0,0,0
41.18,2.08,0.75,3.21,40.0,79.69,22.22,20.0,0.19,22.64,83.33,0.94,0.38,0.57,15.66,24.15,33.77,43.58,25.0,0.0,0,0
57.69,6.03,2.9,6.27,40.82,69.79,50.0,53.85,0.72,19.3,73.75,3.14,0.48,0.72,14.72,23.16,20.51,38.82,50.0,33.333,0,2
40.0,2.47,4.71,2.24,26.09,56.52,25.0,27.27,1.35,17.96,68.75,4.94,0.67,0.67,18.4,25.81,15.71,34.29,28.57,0.0,0,0
18.97349999999999,0.7712000000000007,0.12749999999999997,0.3861000000000001,14.424,53.27000000000002,0.0,4.5719,0.005200000000000002,9.212000000000009,66.65960000000005,0.24850000000000008,0.0025,0.05070000000000001,7.978799999999994,12.108900000000004,12.216100000000008,31.090400000000002,0.9027,0.0,0,0
0.0,2.27,1.51,0.0,0.0,73.68,0.0,50.0,0.0,12.1,75.0,1.51,0.76,0.76,9.83,14.37,12.1,25.0,100.0,0.0,0,0
18.97349999999999,0.7712000000000007,0.12749999999999997,0.3861000000000001,14.424,53.27000000000002,0.0,4.5719,0.005200000000000002,9.212000000000009,66.65960000000005,0.24850000000000008,0.0025,0.05070000000000001,7.978799999999994,12.108900000000004,12.216100000000008,31.090400000000002,0.9027,0.0,0,0
55.56,1.93,2.23,1.34,40.0,71.91,20.0,47.62,0.45,18.74,82.54,3.12,0.45,0.6,17.11,26.48,16.66,57.14,33.33,0.0,0,0
